recipe,filename,coverage_pct,pred_lower_mean,pred_upper_mean,actual_min,actual_max
DC1000_RF0,DC1000(1),100.0,211718752.0,211874176.0,211749776.0,211759184.0
DC1000_RF0,DC1000(2),100.0,211718752.0,211874176.0,211750416.0,211760944.0
DC1000_RF0,DC1000(3),100.0,211718752.0,211874160.0,211753456.0,211760576.0
DC1000_RF300,DC1000RF300(1),100.0,211722096.0,211926080.0,211745472.0,211849920.0
DC1000_RF300,DC1000RF300(2),100.0,211722080.0,211925856.0,211733664.0,211847632.0
DC1000_RF300,DC1000RF300(3),100.0,211722096.0,211926080.0,211737056.0,211847760.0
DC1000_RF400,DC1000RF400(1),100.0,211720128.0,211924880.0,211732480.0,211847664.0
DC1000_RF400,DC1000RF400(2),100.0,211720128.0,211924880.0,211731744.0,211844608.0
DC1000_RF400,DC1000RF400(3),100.0,211720144.0,211924640.0,211802336.0,211849280.0
DC1000_RF500,DC1000RF500(1),100.0,211720416.0,211928048.0,211731920.0,211846784.0
DC1000_RF500,DC1000RF500(2),100.0,211720352.0,211928224.0,211735312.0,211846384.0
DC1000_RF500,DC1000RF500(3),100.0,211720352.0,211928224.0,211733984.0,211848368.0
DC2000_RF0,DC2000(1),100.0,211715312.0,211861536.0,211751584.0,211759664.0
DC2000_RF0,DC2000(2),100.0,211715312.0,211861536.0,211744992.0,211753712.0
DC2000_RF0,DC2000(3),100.0,211715312.0,211861536.0,211745104.0,211755072.0
DC2000_RF300,DC2000RF300(1),100.0,211711664.0,211855824.0,211734816.0,211788288.0
DC2000_RF300,DC2000RF300(2),100.0,211711680.0,211856000.0,211735552.0,211844128.0
DC2000_RF300,DC2000RF300(3),100.0,211711680.0,211856000.0,211737456.0,211810656.0
DC2000_RF400,DC2000RF400(1),100.0,211726944.0,211926080.0,211739104.0,211847776.0
DC2000_RF400,DC2000RF400(2),100.0,211726928.0,211925952.0,211738080.0,211847968.0
DC2000_RF400,DC2000RF400(3),100.0,211726928.0,211925952.0,211738944.0,211846816.0
DC2000_RF500,DC2000RF500(1),100.0,211727024.0,211924768.0,211842272.0,211847552.0
DC2000_RF500,DC2000RF500(2),100.0,211726960.0,211924512.0,211742208.0,211847536.0
DC2000_RF500,DC2000RF500(3),100.0,211727024.0,211924784.0,211740080.0,211848288.0
DC3000_RF0,DC3000(1),100.0,211710416.0,211843232.0,211740784.0,211748656.0
DC3000_RF0,DC3000(2),100.0,211710416.0,211843232.0,211739792.0,211748672.0
DC3000_RF0,DC3000(3),100.0,211710416.0,211843232.0,211736448.0,211745648.0
DC3000_RF300,DC3000R300(2),100.0,211680736.0,211859296.0,211736384.0,211813824.0
DC3000_RF300,DC3000RF300(1),100.0,211680448.0,211859504.0,211757136.0,211816992.0
DC3000_RF300,DC3000RF300(3),100.0,211680496.0,211859504.0,211728080.0,211802800.0
DC3000_RF400,DC3000RF400(1),100.0,211685984.0,211899088.0,211732160.0,211845776.0
DC3000_RF400,DC3000RF400(2),100.0,211685952.0,211899120.0,211755168.0,211803296.0
DC3000_RF400,DC3000RF400(3),100.0,211685936.0,211899248.0,211755008.0,211844400.0
DC3000_RF500,DC3000RF500(1),100.0,211721488.0,211927216.0,211733184.0,211846512.0
DC3000_RF500,DC3000RF500(2),100.0,211721456.0,211927152.0,211735712.0,211848768.0
DC3000_RF500,DC3000RF500(3),100.0,211721440.0,211927152.0,211736848.0,211846080.0
DC0_RF300,DCignRF300(1),100.0,211721504.0,211921088.0,211734560.0,211846912.0
DC0_RF300,DCignRF300(2),100.0,211721520.0,211921136.0,211836192.0,211848352.0
DC0_RF300,DCignRF300(3),100.0,211721520.0,211921136.0,211817472.0,211848688.0
DC0_RF400,DCignRF400(1),100.0,211723696.0,211909168.0,211831264.0,211846304.0
DC0_RF400,DCignRF400(2),100.0,211723696.0,211909264.0,211740336.0,211839056.0
DC0_RF400,DCignRF400(3),100.0,211723664.0,211909312.0,211798752.0,211843088.0
DC0_RF500,DCignRF500(1),100.0,211724608.0,211920608.0,211736240.0,211848880.0
DC0_RF500,DCignRF500(2),100.0,211724592.0,211920720.0,211797408.0,211844688.0
DC0_RF500,DCignRF500(3),100.0,211724592.0,211920720.0,211736048.0,211847872.0
